City,lat,lon
Düsseldorf,51.233,6.783
Verviers,50.583,5.85
Mondorf-les-Bains,49.5069,6.2806
Vittel,48.2025,5.9503
Vesoul,47.6231,6.1558
Troyes,48.2997,4.0792
Nantua,46.1519,5.6078
Périgueux,45.1929,0.7217
Eymet,44.6686,0.3989
Blagnac,43.6364,1.3906
Laissac-Sévérac-l'Église,44.381,2.822
Le Puy-en-Velay,45.04444,3.88472
La Mure,44.9039,5.7881
Briançon,44.8964,6.6356
Marseille,43.2964,5.37
Montgeron,48.7039,2.4605
Mont Saint-Michel,48.636,-1.511
Saint-Lô,49.12,-1.09
Saumur,47.26,-0.0769
Limoges,45.8353,1.2625
Arpajon-sur-Cère,44.9047,2.4575
Escaldes-Engordany,42.50889,1.54083
Carcassonne,43.21,2.35
Montpellier,43.6119,3.8772
Bourg-Saint-Andéol,44.4482,4.5989
Montélimar,44.5581,4.7508
Bourg-en-Bresse,46.2056,5.2289
Moirans-en-Montagne,46.4325,5.7261
Bern,46.94806,7.4475
Sallanches,45.9372,6.6328
Albertville,45.6767,6.3933
Megève,45.8578,6.6181
Utrecht,52.09083,5.12167
Antwerp,51.21778,4.40028
Seraing,50.583,5.5
Arras,50.292,2.78
Abbeville,50.1058,1.8358
Livarot,49.0075,0.1533
Rennes,48.1147,-1.6794
Vannes,47.6559,-2.7603
Tarbes,43.23,0.07
Lannemezan,43.12,0.39
Muret,43.4611,1.3267
Rodez,44.3506,2.575
Bourg-de-Péage,45.0386,5.0508
Digne-les-Bains,44.0933,6.2364
Saint-Jean-de-Maurienne,45.2729,6.3484
Modane,45.2022,6.6736
Sèvres,48.8239,2.2117
Leeds,53.7975,-1.54361
York,53.96,-1.08
Cambridge,52.205,0.1225
Le Touquet-Paris-Plage,50.5186,1.595
Ypres,50.85083,2.885
Épernay,49.0403,3.96
Tomblaine,48.6833,6.2167
Gérardmer,48.08,6.88
Mulhouse,47.75,7.34
Besançon,47.24,6.02
Saint-Étienne,45.4347,4.3903
Grenoble,45.171546,5.722387
Tallard,44.4625,6.0553
Porto-Vecchio,41.5917,9.2803
Bastia,42.7008,9.4503
Ajaccio,41.9267,8.7369
Nice,43.7034,7.2663
Cagnes-sur-Mer,43.6644,7.1489
Aix-en-Provence,43.526304,5.445429
Castres,43.6,2.25
Saint-Gildas-des-Bois,47.5172,-2.0372
Avranches,48.685,-1.3556
Fougères,48.3525,-1.1986
Tours,47.393611,0.689167
Saint-Pourçain-sur-Sioule,46.3083,3.29
Givors,45.5914,4.7694
Vaison-la-Romaine,44.2422,5.0724
Le Bourg-d'Oisans,45.0558,6.0303
Annecy,45.916,6.133
Versailles,48.80472,2.12028
Liège,50.63972,5.57056
Visé,50.733,5.7
Orchies,50.4756,3.245
Rouen,49.44278,1.08861
Belfort,47.64,6.85
Arc-et-Senans,47.0331,5.7792
Mâcon,46.3063,4.8313
Saint-Paul-Trois-Châteaux,44.3497,4.769
Limoux,43.0578,2.2192
Samatan,43.4936,0.9317
Bagnères-de-Luchon,42.7917,0.5947
Rambouillet,48.6444,1.8308
Passage du Gois,46.93083,-2.12611
Olonne-sur-Mer,46.5369,-1.7717
Lorient,47.75,-3.36
Carhaix,48.2783,-3.5672
Dinan,48.4564,-2.0489
Le Mans,48.0077,0.1984
Aigurande,46.4347,1.8297
Issoire,45.545,3.2497
Aurillac,44.9261,2.4406
Blaye-les-Mines,44.0317,2.1325
Cugnaux,43.5386,1.3444
Pinerolo,44.883,7.333
Créteil,48.7911,2.4628
Rotterdam,51.92,4.48
Brussels,50.84667,4.3525
Wanze,50.533,5.217
Cambrai,50.1767,3.2356
Montargis,47.9978,2.7333
Tournus,46.5639,4.9092
Station des Rousses,46.4864,6.0625
Morzine-Avoriaz,46.19083,6.775
Chambéry,45.57,5.9118
Sisteron,44.1911,5.9472
Pamiers,43.1175,1.6117
Salies-de-Béarn,43.471,-0.925
Bordeaux,44.84,-0.58
Longjumeau,48.6943,2.2958
Monaco,43.73111,7.42
Cap d'Agde,43.28417,3.50056
Girona,41.98444,2.82111
Barcelona,41.38278,2.17694
Andorra la Vella,42.5,1.5
Colmar,48.0817,7.3556
Pontarlier,46.9067,6.3556
Martigny,46.1,7.067
Bourg-Saint-Maurice,45.6175,6.7694
Bourgoin-Jallieu,45.5861,5.2736
Montereau-Fault-Yonne,48.3853,2.9508
Auray,47.6686,-2.9814
Saint-Malo,48.64944,-2.02611
Cholet,47.06,-0.8783
Brioude,45.295,3.385
Figeac,44.6086,2.0317
Toulouse,43.6045,1.444
Lavelanet,42.9336,1.8494
Narbonne,43.1836,3.0042
Nîmes,43.83833,4.35972
Cuneo,44.38944,7.54778
Bourg-d'Oisans,45.0558,6.0303
Roanne,46.0367,4.0689
Étampes,48.4343,2.1615
London,51.5,-0.133
Dunkirk,51.0383,2.3775
